"","female.band","nest.id","obs.date","obs.med.temp"
"1","2640-97398","grizz 68",2021-06-05,15.4
"2","2640-97398","grizz 68",2021-06-10,16.1
"3","2640-97398","grizz 68",2021-06-14,17.9
"4","2850-57860","grizz 154",2021-06-10,15.8
"5","2850-57860","grizz 154",2021-06-15,18.1
"6","2850-57860","grizz 154",2021-06-19,NA
"7","2850-57711","vanloon 1",2021-06-10,14.7
"8","2850-57711","vanloon 1",2021-06-15,17
"9","2850-57711","vanloon 1",2021-06-19,18.2
"10","2850-57520","grizz 156",2021-06-12,11.2
"11","2850-57520","grizz 156",2021-06-17,18.5
"12","2850-57520","grizz 156",2021-06-21,15.2
"13","2640-97390","grizz 139",2021-06-12,11.3
"14","2640-97390","grizz 139",2021-06-17,18.8
"15","2640-97390","grizz 139",2021-06-21,15.35
"16","2640-97484","grizz 102",2021-06-12,11.4
"17","2640-97484","grizz 102",2021-06-17,18.75
"18","2640-97484","grizz 102",2021-06-21,15.4
"19","2850-57482","grizz 46",2021-06-14,17.95
"20","2850-57482","grizz 46",2021-06-19,16.7
"21","2850-57482","grizz 46",2021-06-23,16.35
"22","2850-57519","grizz 114",2021-06-15,17.7
"23","2850-57519","grizz 114",2021-06-21,14.9
"24","2850-57519","grizz 114",2021-06-24,20.1
"25","2510-63484","vanloon 11",2021-06-17,21.2
"26","2510-63484","vanloon 11",2021-06-22,16.9
"27","2510-63484","vanloon 11",2021-06-26,19.8
"28","2350-21096","grizz 61",2021-06-17,18.7
"29","2350-21096","grizz 61",2021-06-22,13.55
"30","2350-21096","grizz 61",2021-06-26,16.25
"31","2850-57861","grizz 6",2021-06-19,16.6
"32","2850-57861","grizz 6",2021-06-24,20.55
"33","2850-57861","grizz 6",2021-06-28,16.15
"34","2850-57604","schaaps 110",2021-06-19,18.25
"35","2850-57604","schaaps 110",2021-06-28,15.6
"36","2850-57715","grizz 140",2021-06-21,15.2
"37","2850-57715","grizz 140",2021-06-26,16.75
"38","2850-57715","grizz 140",2021-06-29,13.6
"39","2850-57863","grizz 151",2021-06-22,12.95
"40","2850-57863","grizz 151",2021-06-28,15.45
"41","2850-57863","grizz 151",2021-07-01,NA
"42","UNB","schaaps 131",2021-06-23,18.35
"43","UNB","schaaps 131",2021-07-02,15.55
"44","2850-57611","schaaps 71",2021-06-23,18.3
"45","2850-57611","schaaps 71",2021-06-28,16
"46","2850-57611","schaaps 71",2021-07-02,16.6
"47","2850-57561","schaaps 74",2021-06-23,19.15
"48","2850-57561","schaaps 74",2021-06-28,16.25
"49","2850-57561","schaaps 74",2021-07-02,16.15
"50","2850-57718","grizz 54",2021-06-24,20.85
"51","2850-57718","grizz 54",2021-06-29,14.6
"52","2850-57718","grizz 54",2021-07-03,17.5
"53","2850-57402","grizz 86",2021-06-24,21
"54","2850-57402","grizz 86",2021-06-29,14.3
"55","2850-57402","grizz 86",2021-07-03,18.6
"56","2811-38779","grizz 161",2021-06-26,16.3
"57","2811-38779","grizz 161",2021-07-05,16.3
"58","2850-57526","grizz 123",2021-06-26,16.2
"59","2850-57526","grizz 123",2021-07-01,18.6
"60","2850-57526","grizz 123",2021-07-05,16.2
"61","2850-57864","hayes 7",2021-06-29,15.7
"62","2850-57618","bluecloud 17",2021-06-29,14.25
"63","2850-57618","bluecloud 17",2021-07-03,19.35
"64","2850-57618","bluecloud 17",2021-07-07,19.3
"65","2850-57905","schaaps 24",2021-07-01,19.4
"66","2850-57905","schaaps 24",2021-07-06,20.05
"67","2850-57905","schaaps 24",2021-07-10,20.9
"68","2850-57617","urbanfarm 4",2021-07-01,18.35
"69","2850-57617","urbanfarm 4",2021-07-06,18.9
"70","2850-57617","urbanfarm 4",2021-07-11,17.9
"71","2850-57854","cooks 18",2021-07-02,17.3
"72","2850-57854","cooks 18",2021-07-06,20.8
"73","2850-57854","cooks 18",2021-07-10,21.95
"74","2850-57722","vanloon 46",2021-07-05,16.45
"75","2850-57722","vanloon 46",2021-07-10,19
"76","2850-57722","vanloon 46",2021-07-13,19.1
"77","2850-57559","schaaps 98",2021-07-06,19.4
"78","2850-57559","schaaps 98",2021-07-11,18.1
"79","2850-57559","schaaps 98",2021-07-16,17
"80","2850-57709","hoops 2",2021-07-07,16.75
"81","2850-57709","hoops 2",2021-07-13,18.7
"82","2850-57709","hoops 2",2021-07-16,NA
"83","2850-57609","cooks 6",2021-07-08,19.95
"84","2850-57609","cooks 6",2021-07-16,18.85
"85","2850-57608","urbanfarm 5",2021-07-15,13.8
"86","2850-57608","urbanfarm 5",2021-07-19,16.3
"87","2850-57556","schaaps 59",2021-07-10,20.95
"88","2850-57556","schaaps 59",2021-07-15,16.8
"89","2850-57556","schaaps 59",2021-07-19,20.95
"90","2850-57725","hoops 11",2021-07-11,18.25
"91","2850-57725","hoops 11",2021-07-16,16.1
"92","2850-57725","hoops 11",2021-07-19,18.5
